filename,timestamp,window_title,roi,width,height,diff
map_20260317_093615_0001.png,20260317_093615,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,
map_20260317_093625_0002.png,20260317_093625,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,16.1523
map_20260317_093626_0003.png,20260317_093626,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,11.4631
map_20260317_093637_0004.png,20260317_093637,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,94.6230
map_20260317_093638_0005.png,20260317_093638,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,94.6089
map_20260317_093639_0006.png,20260317_093639,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,13.4055
map_20260317_093641_0007.png,20260317_093641,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,2.0635
map_20260317_093643_0008.png,20260317_093643,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,10.0488
map_20260317_093644_0009.png,20260317_093644,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,9.8721
map_20260317_093646_0010.png,20260317_093646,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,11.8457
map_20260317_093648_0011.png,20260317_093648,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,11.8398
map_20260317_093651_0012.png,20260317_093651,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,12.9971
map_20260317_093652_0013.png,20260317_093652,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,82.0315
map_20260317_093653_0014.png,20260317_093653,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,82.0310
map_20260317_093654_0015.png,20260317_093654,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,8.5271
map_20260317_093656_0016.png,20260317_093656,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,8.6450
map_20260317_093658_0017.png,20260317_093658,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,10.4226
map_20260317_093702_0018.png,20260317_093702,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,11.7832
map_20260317_093707_0019.png,20260317_093707,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,11.7795
map_20260317_093709_0020.png,20260317_093709,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,13.3059
map_20260317_093710_0021.png,20260317_093710,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,10.8655
map_20260317_093713_0022.png,20260317_093713,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,119.6804
map_20260317_093714_0023.png,20260317_093714,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,111.4744
map_20260317_093717_0024.png,20260317_093717,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,14.9077
map_20260317_093718_0025.png,20260317_093718,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,10.5933
map_20260317_093720_0026.png,20260317_093720,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,11.0842
map_20260317_093723_0027.png,20260317_093723,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,10.1599
map_20260317_093724_0028.png,20260317_093724,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,10.1697
map_20260317_093727_0029.png,20260317_093727,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,9.8110
map_20260317_093728_0030.png,20260317_093728,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,10.6404
map_20260317_093730_0031.png,20260317_093730,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,11.4656
map_20260317_093735_0032.png,20260317_093735,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,11.0796
map_20260317_093739_0033.png,20260317_093739,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,12.9148
map_20260317_093742_0034.png,20260317_093742,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,15.8276
map_20260317_093744_0035.png,20260317_093744,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,14.7200
map_20260317_093747_0036.png,20260317_093747,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,32.8721
map_20260317_093749_0037.png,20260317_093749,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,63.7373
map_20260317_093750_0038.png,20260317_093750,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,37.0300
map_20260317_093751_0039.png,20260317_093751,三国志·战略版 电脑模拟器 1358.1777,"0.10,0.08,0.80,0.84",958,566,11.7920
