filename,timestamp,window_title,roi,width,height,diff
monster_20260317_150508_0001.png,20260317_150508,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,
monster_20260317_150509_0002.png,20260317_150509,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,17.9373
monster_20260317_150510_0003.png,20260317_150510,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,6.4421
monster_20260317_150515_0004.png,20260317_150515,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,19.7190
monster_20260317_150516_0005.png,20260317_150516,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,15.1687
monster_20260317_150521_0006.png,20260317_150521,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,14.7209
monster_20260317_150522_0007.png,20260317_150522,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,19.1033
monster_20260317_150525_0008.png,20260317_150525,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,13.9871
monster_20260317_150526_0009.png,20260317_150526,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,19.6165
monster_20260317_150527_0010.png,20260317_150527,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,15.9636
monster_20260317_150533_0011.png,20260317_150533,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,32.8435
monster_20260317_150535_0012.png,20260317_150535,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,3.8679
monster_20260317_150536_0013.png,20260317_150536,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,31.2659
monster_20260317_150538_0014.png,20260317_150538,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,13.0574
monster_20260317_150540_0015.png,20260317_150540,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,18.8000
monster_20260317_150543_0016.png,20260317_150543,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,2.1770
monster_20260317_150547_0017.png,20260317_150547,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,2.3914
monster_20260317_150548_0018.png,20260317_150548,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,18.6838
monster_20260317_150553_0019.png,20260317_150553,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,48.9312
monster_20260317_150555_0020.png,20260317_150555,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,48.6035
monster_20260317_150557_0021.png,20260317_150557,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,16.9915
monster_20260317_150558_0022.png,20260317_150558,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,17.1692
monster_20260317_150603_0023.png,20260317_150603,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,17.5754
monster_20260317_150604_0024.png,20260317_150604,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,8.2280
monster_20260317_150607_0025.png,20260317_150607,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,5.7310
monster_20260317_150608_0026.png,20260317_150608,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,15.5105
monster_20260317_150609_0027.png,20260317_150609,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,17.9492
monster_20260317_150611_0028.png,20260317_150611,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,2.0981
monster_20260317_150613_0029.png,20260317_150613,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,19.7112
monster_20260317_150614_0030.png,20260317_150614,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,17.6836
monster_20260317_150618_0031.png,20260317_150618,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,19.1919
monster_20260317_150621_0032.png,20260317_150621,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,17.4800
monster_20260317_150626_0033.png,20260317_150626,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,7.7048
monster_20260317_150627_0034.png,20260317_150627,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,17.3367
monster_20260317_150629_0035.png,20260317_150629,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,16.3594
monster_20260317_150634_0036.png,20260317_150634,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,18.2061
monster_20260317_150635_0037.png,20260317_150635,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,13.8789
monster_20260317_150636_0038.png,20260317_150636,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,6.0466
monster_20260317_150637_0039.png,20260317_150637,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,18.7520
monster_20260317_150638_0040.png,20260317_150638,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,16.4131
monster_20260317_150640_0041.png,20260317_150640,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,20.2239
monster_20260317_150641_0042.png,20260317_150641,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,17.8313
monster_20260317_150642_0043.png,20260317_150642,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,15.6826
monster_20260317_150645_0044.png,20260317_150645,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,67.4692
monster_20260317_150646_0045.png,20260317_150646,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,80.9324
monster_20260317_150647_0046.png,20260317_150647,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,14.2856
monster_20260317_150650_0047.png,20260317_150650,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,14.6108
monster_20260317_150652_0048.png,20260317_150652,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,2.0015
monster_20260317_150656_0049.png,20260317_150656,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,15.2517
monster_20260317_150657_0050.png,20260317_150657,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,12.4692
monster_20260317_150659_0051.png,20260317_150659,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,12.0830
monster_20260317_150701_0052.png,20260317_150701,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,10.6121
monster_20260317_150702_0053.png,20260317_150702,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,11.5474
monster_20260317_150703_0054.png,20260317_150703,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,13.2256
monster_20260317_150704_0055.png,20260317_150704,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,12.2957
monster_20260317_150707_0056.png,20260317_150707,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,13.5251
monster_20260317_150708_0057.png,20260317_150708,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,2.9976
monster_20260317_150709_0058.png,20260317_150709,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,6.3813
monster_20260317_150711_0059.png,20260317_150711,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,12.5007
monster_20260317_150713_0060.png,20260317_150713,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,13.4963
monster_20260317_150714_0061.png,20260317_150714,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,3.3918
monster_20260317_150715_0062.png,20260317_150715,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,13.6646
monster_20260317_150717_0063.png,20260317_150717,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,2.2429
monster_20260317_150718_0064.png,20260317_150718,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,12.8577
monster_20260317_150719_0065.png,20260317_150719,三国志·战略版 电脑模拟器 1358.1777,"0.00,0.1,1,0.80",1079,485,10.5051
