epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,575.385,0.74254,0.99982,0.98208,0.98602,1,0.995,0.88007,0.6519,1.07872,0.98614,0.0012905,0.0012905,0.0012905
45,588.659,0.79096,1.0757,1.01212,0.98602,1,0.995,0.88007,0.6519,1.07872,0.98614,0.001274,0.001274,0.001274
46,601.255,0.65898,0.8718,0.90502,0.98408,1,0.995,0.89105,0.58945,0.90887,0.96606,0.0012575,0.0012575,0.0012575
47,614.876,0.61463,0.87337,0.9432,0.98873,1,0.995,0.85732,0.6418,0.80431,1.00816,0.001241,0.001241,0.001241
48,628.695,0.64118,0.857,0.91725,0.98759,1,0.995,0.83156,0.70003,0.83872,1.02464,0.0012245,0.0012245,0.0012245
49,642.299,0.62035,0.75141,0.90492,0.98759,1,0.995,0.83156,0.70003,0.83872,1.02464,0.001208,0.001208,0.001208
50,657.615,0.63042,0.84596,0.9132,0.98811,1,0.995,0.83056,0.66234,0.7131,0.99822,0.0011915,0.0011915,0.0011915
51,670.154,0.70521,0.90363,0.9616,0.98158,1,0.995,0.87552,0.56458,0.76867,0.95225,0.001175,0.001175,0.001175
52,682.209,0.57529,0.78672,0.90169,0.97374,1,0.995,0.8853,0.5913,0.98819,0.96546,0.0011585,0.0011585,0.0011585
53,694.137,0.59373,0.79124,0.92555,0.97374,1,0.995,0.8853,0.5913,0.98819,0.96546,0.001142,0.001142,0.001142
54,707.015,0.60681,0.81736,0.91007,0.98607,1,0.995,0.88841,0.62429,0.72594,1.00627,0.0011255,0.0011255,0.0011255
55,719.76,0.62063,0.79645,0.93161,0.97873,1,0.995,0.87509,0.70823,0.76755,1.09861,0.001109,0.001109,0.001109
56,731.67,0.62823,0.81834,0.92794,0.9746,1,0.995,0.87509,0.73159,0.81,1.0934,0.0010925,0.0010925,0.0010925
57,743.731,0.60512,0.72697,0.89642,0.9746,1,0.995,0.87509,0.73159,0.81,1.0934,0.001076,0.001076,0.001076
58,756.335,0.58778,0.80194,0.89463,0.96958,1,0.995,0.84533,0.80959,0.92821,1.17694,0.0010595,0.0010595,0.0010595
59,770.906,0.57418,0.76664,0.92093,0.96552,1,0.995,0.81557,0.78793,0.84015,1.17802,0.001043,0.001043,0.001043
60,784.007,0.60815,0.77475,0.93001,0.96369,1,0.995,0.83556,0.65431,0.69712,1.06045,0.0010265,0.0010265,0.0010265
61,796.159,0.58479,0.75882,0.88266,0.96369,1,0.995,0.83556,0.65431,0.69712,1.06045,0.00101,0.00101,0.00101
62,808.715,0.58327,0.76199,0.93098,0.96227,1,0.995,0.87507,0.59342,0.68579,1.02239,0.0009935,0.0009935,0.0009935
63,822.068,0.59184,0.72,0.90268,0.96426,1,0.995,0.84755,0.61637,0.70288,1.0527,0.000977,0.000977,0.000977
64,837.034,0.56895,0.76652,0.91228,0.96752,1,0.995,0.80758,0.71671,0.66777,1.13034,0.0009605,0.0009605,0.0009605
65,849.535,0.55288,0.68495,0.90885,0.96752,1,0.995,0.80758,0.71671,0.66777,1.13034,0.000944,0.000944,0.000944
66,862.702,0.61378,0.70042,0.95276,0.97129,1,0.995,0.86442,0.63104,0.66158,1.08555,0.0009275,0.0009275,0.0009275
